product_id,product_title,brand_count,brand_names,cat_assigned,brand_assigned,action,note
3956,"NACIFIC Fresh Herb Origin Kit",1,Nacific,added,already:Nacific,ADDED_TO_EMART_COMBOS,
4147,"Jumiso Let's Go! Kit",1,Jumiso,added,already:Jumiso,ADDED_TO_EMART_COMBOS,
4260,"Cosrx Honey Glow Kit Propolis Trial Kit 3 Step",1,Cosrx,added,already:Cosrx,ADDED_TO_EMART_COMBOS,
4261,"Cosrx CICA-7 Relief Kit 3 Step",1,Cosrx,added,already:Cosrx,ADDED_TO_EMART_COMBOS,
26652,"Rovectin Travel Kit 4 Step",1,Rovectin,added,already:Rovectin,ADDED_TO_EMART_COMBOS,
43862,"Cosrx Cica-7 Relief Kit- 3 Step",1,Cosrx,added,already:Cosrx,ADDED_TO_EMART_COMBOS,
43874,"Cosrx Favorites Bestsellers Set",1,Cosrx,added,already:Cosrx,ADDED_TO_EMART_COMBOS,
43892,"Axis-Y The Mini Glow Set",1,Axis-Y,added,already:Axis-Y,ADDED_TO_EMART_COMBOS,
43897,"Cosrx Honey Glow Kit- 3 Step",1,Cosrx,added,already:Cosrx,ADDED_TO_EMART_COMBOS,
50515,"Beauty of Joseon Hanbang Serum Discovery Kit ( 4 serum)",1,"Beauty of Joseon",added,"already:Beauty of Joseon",ADDED_TO_EMART_COMBOS,
56271,"Some By Mi Retinol Intense Trial Kit Set",1,"Some By Mi",added,"already:Some By Mi",ADDED_TO_EMART_COMBOS,
57122,"Anua Heartleaf Soothing Trial Kit 4 item",1,Anua,added,already:Anua,ADDED_TO_EMART_COMBOS,
59631,"SKIN1004 Madagascar Centella Travel Kit 5 Items",1,SKIN1004,added,already:SKIN1004,ADDED_TO_EMART_COMBOS,
60071,"Rice brightening combo",1,Jigott,added,already:Jigott,ADDED_TO_EMART_COMBOS,
60410,"ILLIYOON Upgrade Ceramide Ato Trial Kit",1,Illiyoon,added,already:Illiyoon,ADDED_TO_EMART_COMBOS,
60750,"3-Step Korean Skincare Combo for Redness, Acne & Sensitive Skin",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
60754,"Anua Heartleaf Pore Control Double Cleansing Combo",1,Anua,added,already:Anua,ADDED_TO_EMART_COMBOS,
60756,"Dark Spot & Brightening Combo for Glowing Skin",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
60760,"DABO T-Tree Cica Complete Acne Solution Combo Ship",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
60762,"DABO Brightening & Repair Skincare Combo",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
60764,"Melasma & Dark Spot Solution Combo",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
60789,"Anti-Acne + Skin Repair Combo",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
60793,"Student Combo: Dabo Rice Cleanser + Dabo Snail Moisturizer",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
60795,"Dabo Pink Collagen PDRN Cream, Serum & Toner - Combo",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
60811,"Sensitive Skin Care Combo: S.O.S Recovery CICA Cream, Nature Skin Salicylic Acid, Green Tomato Ampoule",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
60813,"Best Glowing Skin Combo",1,Bellflower,added,already:Bellflower,ADDED_TO_EMART_COMBOS,
60815,"Dabo Winter Moisturizing Combo",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
60817,"3-Step Glass Skin Glow Combo",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
60819,"Dabo 4-Step Glass Skin Combo",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
60823,"Korean Winter Brightening Combo",1,Bellflower,added,already:Bellflower,ADDED_TO_EMART_COMBOS,
60825,"Korean 3-Step Brightening Glow Combo",1,Bellflower,added,already:Bellflower,ADDED_TO_EMART_COMBOS,
60827,"Hyperpigmentation & Acne Scar Solution Combo",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
60829,"Glass Skin Brightening Rice Combo",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
60833,"DABO Black Snail Repair & Glow Combo",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
60835,"DABO Basic Skincare Combo",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
60837,"Care:nel Anti-Melasma Cica 3-Step Treatment Set",1,Carenel,added,already:Carenel,ADDED_TO_EMART_COMBOS,
60866,"P.Calm Trial Kit",1,P.Calm,added,already:P.Calm,ADDED_TO_EMART_COMBOS,
61159,"Cosrx All About Snail Kit",1,Cosrx,added,already:Cosrx,ADDED_TO_EMART_COMBOS,
61213,"Dabo 30 Days Glutathione Snow White Melanope Toner & Cream - Combo",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
61297,"Hera Signia Deluxe Kit (new)",1,Hera,added,already:Hera,ADDED_TO_EMART_COMBOS,
61331,"Mise En Scene Perfect Serum - Trio Kit",1,"Mise en Scene",added,"already:Mise en Scene",ADDED_TO_EMART_COMBOS,
61393,"Laneige Homme Blue Energy Trial Kit (2 Item)",1,Laneige,added,already:Laneige,ADDED_TO_EMART_COMBOS,
61401,"Basic Skin Care Combo",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
61590,"Innisfree Perfect 9 Intensive Skin Care Set",1,innisfree,added,already:innisfree,ADDED_TO_EMART_COMBOS,
61600,"Dabo All in One Black Snail Repair Essence Toner & Cream Combo",1,Dabo,added,already:Dabo,ADDED_TO_EMART_COMBOS,
61632,"Mini Combo - Dabo Black Snail Cream & Cosrx Advanced Snail 96 Essence",1,Cosrx,added,already:Cosrx,ADDED_TO_EMART_COMBOS,
61888,"CELIMAX Pore + Dark Spot Brightening Kit",1,Celimax,added,already:Celimax,ADDED_TO_EMART_COMBOS,
62110,"BUY 1 BENTON Guava 70 Skin Toner PAD GET Benton Snail Bee Starter Kit FREE",1,Benton,added,already:Benton,ADDED_TO_EMART_COMBOS,
62184,"TIRTIR Mask Fit Red Cushion 6 Shade Trial Kit (35N/37C/40N,43N/51N/55N)",1,Tirtir,added,already:Tirtir,ADDED_TO_EMART_COMBOS,
62220,"Benton Snail Bee High Content Starter Kit",1,Benton,added,already:Benton,ADDED_TO_EMART_COMBOS,
62270,"SKIN 1004 Madagascar Centella Ampoule Kit",1,SKIN1004,added,already:SKIN1004,ADDED_TO_EMART_COMBOS,
62298,"CNP Laboratory Greenery Calming Ampule 2-Step Mask Set",1,"CNP Laboratory",added,"already:CNP Laboratory",ADDED_TO_EMART_COMBOS,
62518,"SOME BY MI Beta Panthenol Repair Starter Kit",1,"Some By Mi",added,"already:Some By Mi",ADDED_TO_EMART_COMBOS,
62644,"TIRTIR Mask Fit Red Cushion 6 Shade Trial Kit - 33C,33N,33W,34C,34N,34W",1,Tirtir,added,already:Tirtir,ADDED_TO_EMART_COMBOS,
62646,"TIRTIR Mask Fit Red Cushion 6 Shade Trial Kit - 33N,37C,40N,43N,51N,55N",1,Tirtir,added,already:Tirtir,ADDED_TO_EMART_COMBOS,
62781,"Goodal Green Tangerine Brightening Duo",1,Goodal,added,already:Goodal,ADDED_TO_EMART_COMBOS,
62923,"COSRX All About Snail Trial Kit",1,Cosrx,added,already:Cosrx,ADDED_TO_EMART_COMBOS,
62929,"AXIS-Y GLOW CARE SET",1,Axis-Y,added,already:Axis-Y,ADDED_TO_EMART_COMBOS,
63001,"VALENTINE GLOW SKINCARE GIFT SET!",1,Valentine,added,already:Valentine,ADDED_TO_EMART_COMBOS,
63049,"Hair Growth & Volume Duo",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
63159,"TOCOBO Sun Care Mini Duo",1,Tocobo,added,already:Tocobo,ADDED_TO_EMART_COMBOS,
63427,"Heimish GLASS SKIN DUO",1,Heimish,added,already:Heimish,ADDED_TO_EMART_COMBOS,
63455,"Heimish Valentine Special Gift Set",1,Heimish,added,already:Heimish,ADDED_TO_EMART_COMBOS,
63459,"GLASS SKIN DUO (Innisfree Jelly Cream+Heimish Artless Glow Base)",1,innisfree,added,already:innisfree,ADDED_TO_EMART_COMBOS,
63461,"Cosrx snail essence+ snail cream Combo",1,Cosrx,added,already:Cosrx,ADDED_TO_EMART_COMBOS,
63511,"Heimish Matcha Mini Kit",1,Heimish,added,already:Heimish,ADDED_TO_EMART_COMBOS,
63609,"Some By Mi Miracle Hair & Body Starter Kit",1,"Some By Mi",added,"already:Some By Mi",ADDED_TO_EMART_COMBOS,
63653,"Beauty of Joseon Hanbang Serum Discovery Kit",1,"Beauty of Joseon",added,"already:Beauty of Joseon",ADDED_TO_EMART_COMBOS,
63771,"Innisfree Bija Trouble Skin Care Set",1,innisfree,added,already:innisfree,ADDED_TO_EMART_COMBOS,
63951,"Innisfree Jeju Cherry Blossom Special Kit",1,innisfree,added,already:innisfree,ADDED_TO_EMART_COMBOS,
74287,"Pookie Combo Offer-6 (Buy 2 Trendy Beauties Liquid Matte Waterproof Lipstick and get 1 free)",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
74289,"Pookie Combo Offer-5 (Buy 2 Trendy Beauties Liquid Matte Waterproof Lipstick and get 1 free)",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
74291,"Pookie Combo Offer-4 (Beauty Glazed Phantom Concealer + Beauty Glazed Soft Focus Powder + Beauty Glazed 2in1 Bushy Big Eyeliner & Mascara + Beauty Glazed Tint Blush + Beauty Glazed Velvet Soft Mist Li",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
74293,"Pookie Combo Offer-2 (Beauty Glazed Lively Waterproof & Long Lasting Lip Liner + Beauty Glazed Matte Lipstick)",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
74295,"Pookie Combo Offer-1 (Beauty Glazed Lively Waterproof & Long Lasting Lip Liner + Beauty Glazed Lip Glow Oil + Beauty Glazed Matte Lipstick)",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
74296,"Pookie Combo Offer-5 (Buy 2 Trendy Beauties Liquid Matte Waterproof Lipstick and get 1 free)",1,"Emart Combo",added,"already:Emart Combo",ADDED_TO_EMART_COMBOS,
92892,"Some By Mi AHA.BHA.PHA 30 Days Miracle Starter Kit",1,"Some By Mi",added,"already:Some By Mi",ADDED_TO_EMART_COMBOS,
92896,"Some By Mi AHA BHA PHA 30 Days Miracle AC SOS Kit",1,"Some By Mi",added,"already:Some By Mi",ADDED_TO_EMART_COMBOS,
92954,"Some By Mi Yuja Niacin Anti Blemish Starter Kit",1,"Some By Mi",added,"already:Some By Mi",ADDED_TO_EMART_COMBOS,
93014,"Tiam Pore Minimizing 21 Serum and Cream Combo",1,Tiam,added,already:Tiam,ADDED_TO_EMART_COMBOS,
93022,"Some By Mi Retinol Intense Trial Kit",1,"Some By Mi",added,"already:Some By Mi",ADDED_TO_EMART_COMBOS,
