product_id,status,title,slug,brand,current_sku,recovered_old_sku,recommended_sku,action,seo_note,flags
92800,publish,"Tiam Pore Minimizing 21 Cream 60ml",tiam-pore-minimizing-21-cream-60ml,Tiam,,,EM-TIAM-TIAPOR-92800,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92804,publish,"The Ordinary Retinol 1% in Squalane 30ml",the-ordinary-retinol-1-in-squalane-30ml,"The Ordinary",,,EM-THEO-ORDRET-92804,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92806,publish,"3W Clinic Rose Eye Cream 40ml",3w-clinic-rose-eye-cream-40ml,"3W Clinic",,,EM-3WCL-3WCLIR-92806,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92808,publish,"3W Clinic Collagen & Luxury Gold Revitalizing Comfort Gold Essence 150ml",3w-clinic-collagen-amp-luxury-gold-revitalizing-comfort-gold-essence-150ml,"3W Clinic",,,EM-3WCL-3WCLIC-92808,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92810,publish,"A’pieu Honey & Milk Lip Oil 5g",apieu-honey-amp-milk-lip-oil-5g,A'pieu,,,EM-APIE-APIEHO-92810,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92812,publish,"Cerave Hydrating Cream-to-Foam Cleanser - 355 ml",cerave-hydrating-cream-to-foam-cleanser-355-ml,CeraVe,,,EM-CERA-CERHYD-92812,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92814,publish,"Cos de Baha Arbutin 5%+Niacinamide 5% Serum 30ml (AN)",cos-de-baha-arbutin-5niacinamide-5-serum-30ml-an,"Cos De Baha",,,EM-COSD-COSDEB-92814,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92816,publish,"Cos De BAHA M.A. Peptide Serum 30ml",cos-de-baha-m-a-peptide-serum-30ml,"Cos De Baha",,,EM-COSD-COSDEB-92816,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92822,publish,"The Ordinary Retinol 0.2% in Squalane 30ml",the-ordinary-retinol-0-2-in-squalane-30ml,"The Ordinary",,,EM-THEO-ORDRET-92822,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92824,publish,"CeraVe Hydrating Cleanser Normal To Dry Skin 355ml (USA Version)",cerave-hydrating-facial-cleanser-355ml,CeraVe,,,EM-CERA-CERHYD-92824,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92830,publish,"Simple Moisturising Facial Wash 150ml",simple-moisturising-facial-wash-150ml,Simple,,,EM-SIMP-SIMMOI-92830,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92832,publish,"Simple Kind to Skin Replenishing Rich Moisturizer 125ml",simple-kind-to-skin-replenishing-rich-moisturizer-125ml,Simple,,,EM-SIMP-SIMKIN-92832,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92834,publish,"Simple Kind to Skin Hydrating Light Moisturizer 125ml",simple-kind-to-skin-hydrating-light-moisturizer-125ml,Simple,,,EM-SIMP-SIMKIN-92834,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92836,publish,"MISSHA All Around Safe Block Aqua Sun Gel SPF50+ PA++++ 50ml",missha-all-around-safe-block-aqua-sun-gel-spf50-pa-50ml,Missha,,,EM-MISS-MISALL-92836,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92838,publish,"Cos De BAHA 10% Niacinamide Booster Serum with 1% Zinc 30ml (N)",cos-de-baha-10-niacinamide-booster-serum-with-1-zinc-30ml-n,"Cos De Baha",,,EM-COSD-COSDEB-92838,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92842,publish,"RAIP ARGAN OIL 100ML",raip-argan-oil-100ml,Raip,,,EM-RAIP-RAIARG-92842,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92844,publish,"CeraVe Foaming Facial Cleanser For Normal To Oily Skin 355ml",cerave-foaming-facial-cleanser-for-normal-to-oily-skin-355ml,CeraVe,,,EM-CERA-CERFOA-92844,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92846,publish,"Isntree Green Tea Fresh Cleanser 120ml",isntree-green-tea-fresh-cleanser-120ml,ISNTREE,,,EM-ISNT-ISNGRE-92846,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92848,publish,"The Face Shop Rice Water Bright Cleansing Light Oil 150ml",the-face-shop-rice-water-bright-cleansing-light-oil-150ml,"The Face Shop",,,EM-THEF-FACSHO-92848,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92852,publish,"Isntree Onion Newpair Gel Cream 50mL",isntree-onion-newpair-gel-cream-50ml,ISNTREE,,,EM-ISNT-ISNONI-92852,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92854,publish,"MEDICUBE Collagen Jelly Cream 110ml",medicube-collagen-jelly-cream-110ml,Medicube,,,EM-MEDI-MEDCOL-92854,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92856,publish,"Some By Mi Propolis B5 Glow Barrier Calming Oil to Foam 120ml",some-by-mi-propolis-b5-glow-barrier-calming-oil-to-foam-120ml,"Some By Mi",,,EM-SOME-SOMBYM-92856,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92860,publish,"SKIN1004 Madagascar Centella Tea-Trica Bha Foam 125ml",skin1004-madagascar-centella-tea-trica-bha-foam-125ml,SKIN1004,,,EM-SKIN-SKIMAD-92860,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92862,publish,"Cos De Baha Acne Clearing Serum (Acne Treatment) AC 30ml",cos-de-baha-acne-clearing-serum-acne-treatment-ac-30ml,"Cos De Baha",,,EM-COSD-COSDEB-92862,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92866,publish,"I'M FROM Mugwort Cream 50ml",im-from-mugwort-cream-50ml,"I am From",,,EM-IAMF-IMFROM-92866,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92870,publish,"Cos De BAHA Vitamin B5 4% + Hyaluronic Acid Serum 30ml (HP)",cos-de-baha-vitamin-b5-4-hyaluronic-acid-serum-30ml-hp,"Cos De Baha",,,EM-COSD-COSDEB-92870,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92876,publish,"Cos De BAHA M.A. Peptide Cream 45ml",cos-de-baha-m-a-peptide-cream-45ml,"Cos De Baha",,,EM-COSD-COSDEB-92876,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92878,publish,"Skin1004 Madagascar Centella Ampoule Foam 20ml (Mini)",skin1004-madagascar-centella-ampoule-foam-20ml-mini,SKIN1004,,,EM-SKIN-SKIMAD-92878,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92882,publish,"Cos De BAHA Salicylic Acid BHA 2% Liquid with Niacinamide 2% 120ml (S2)",cos-de-baha-salicylic-acid-bha-2-liquid-with-niacinamide-2-120ml-s2,"Cos De Baha",,,EM-COSD-COSDEB-92882,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92884,publish,"Skin1004 Madagascar Centella Ampoule 30ml",skin1004-madagascar-centella-ampoule-30ml,SKIN1004,,,EM-SKIN-SKIMAD-92884,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92886,publish,"Some By Mi AHA BHA PHA 14 Days Super Miracle Spot All Kill Cream 30ml",some-by-mi-aha-bha-pha-14-days-super-miracle-spot-all-kill-cream-30ml,"Some By Mi",,,EM-SOME-SOMBYM-92886,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92892,publish,"Some By Mi AHA.BHA.PHA 30 Days Miracle Starter Kit",some-by-mi-aha-bha-pha-30-days-miracle-starter-kit,"Some By Mi",,,EM-SOME-SOMBYM-92892,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",COMBO_OR_KIT_REVIEW
92894,publish,"Some By Mi Super Matcha Pore Clean Clay Mask 100g",some-by-mi-super-matcha-pore-clean-clay-mask-100g,"Some By Mi",,,EM-SOME-SOMBYM-92894,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92896,publish,"Some By Mi AHA BHA PHA 30 Days Miracle AC SOS Kit",some-by-mi-aha-bha-pha-30-days-miracle-ac-sos-kit,"Some By Mi",,,EM-SOME-SOMBYM-92896,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",COMBO_OR_KIT_REVIEW
92898,publish,"Aveeno Baby Daily Care Moisturising Lotion 150ml",aveeno-baby-daily-care-moisturising-lotion-150ml,Aveeno,,,EM-AVEE-AVEBAB-92898,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92900,publish,"Skin1004 Madagascar Centella-Asiatica Sooting Cream 75ml",skin1004-madagascar-centella-asiatica-sooting-cream-75ml,SKIN1004,,,EM-SKIN-SKIMAD-92900,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92902,publish,"Purito Seoul Wonder Releaf Centella Serum 60ml",purito-seoul-wonder-releaf-centella-serum-60ml,"Purito Seoul",,,EM-PURI-PURSEO-92902,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92904,publish,"SKIN1004 Madagascar Centella Ampoule Foam Cleanser 125ml",skin1004-madagascar-centella-ampoule-foam-cleanser-125ml,SKIN1004,,,EM-SKIN-SKIMAD-92904,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92906,publish,"Isntree Green Tea Fresh Toner 200ml",isntree-green-tea-fresh-toner-200ml,ISNTREE,,,EM-ISNT-ISNGRE-92906,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92908,publish,"COS DE BAHA AHA BHA CLARIFYING TONER 200ml (GS)",cos-de-baha-aha-bha-clarifying-toner-200ml-gs,"Cos De Baha",,,EM-COSD-COSDEB-92908,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92910,publish,"ANUA RETINOL 0.3 + NIACIN RENEWING SERUM 30m",anua-retinol-0-3-niacin-renewing-serum-30m,Anua,,,EM-ANUA-ANURET-92910,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92912,publish,"Mary&May Idebenone + Blackberry Complex Serum 80ml",maryampmay-idebenone-blackberry-complex-serum-80ml,"Mary &amp; May",,,EM-MARY-MARMAY-92912,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92914,publish,"Numbuzin No. 2 Rose PDRN Collagen 2X Plumping Serum 30ml",numbuzin-no-2-rose-pdrn-collagen-2x-plumping-serum-30ml,Numbuzin,,,EM-NUMB-NUMNO2-92914,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92916,publish,"Rom&amp;nd THE JUICY LASTING TINT 17 DARK COCONUT",romampnd-the-juicy-lasting-tint-17-dark-coconut,Romnd,,,EM-ROMN-ROMAMP-92916,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92918,publish,"Mary&amp;May White Collagen cleansing foam 150ml",maryampmay-white-collagen-cleansing-foam-150ml,"Mary &amp; May",,,EM-MARY-MARAMP-92918,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92920,publish,"Heimish Watermelon Moisture Soothing Gel Cream 110ml",heimish-watermelon-moisture-soothing-gel-cream-110ml,Heimish,,,EM-HEIM-HEIWAT-92920,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92922,publish,"Bonajour Propolis Energy Toner 205ml",bonajour-propolis-energy-toner-205ml,Bonajour,,,EM-BONA-BONPRO-92922,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92924,publish,"Bonajour Green Tea Water Toner 205ml",bonajour-green-tea-water-toner-205ml,Bonajour,,,EM-BONA-BONGRE-92924,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92926,publish,"Goodal Green Tangerine Vita C Dark Spot Care Cream 50ml",goodal-green-tangerine-vita-c-dark-spot-care-cream-50ml,Goodal,,,EM-GOOD-GOOGRE-92926,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92930,publish,"Acwell Licorice pH Balancing Cleansing Toner 150ml",acwell-licorice-ph-balancing-cleansing-toner-150ml,Acwell,,,EM-ACWE-ACWLIC-92930,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92932,publish,"ANUA Heartleaf Quercetinol Pore Deep Cleansing Foam 25ml mini",anua-heartleaf-quercetinol-pore-deep-cleansing-foam-25ml-mini,Anua,,,EM-ANUA-ANUHEA-92932,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92934,publish,"Purito Wonder Releaf Centella Serum Unscented 15ml mini",purito-wonder-releaf-centella-serum-unscented-15ml-mini,"Purito Seoul",,,EM-PURI-PURWON-92934,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92936,publish,"Round Lab Birch Juice Moisturizing Cream 80ml",round-lab-birch-juice-moisturizing-cream-80ml,"Round Lab",,,EM-ROUN-ROULAB-92936,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92938,publish,"Bonajour Rose Stem Cell Ampoule 30ml",bonajour-rose-stem-cell-ampoule-30ml,Bonajour,,,EM-BONA-BONROS-92938,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92942,publish,"SKIN1004 Madagascar Centella Tea-Trica B5 Cream 75ml",skin1004-madagascar-centella-tea-trica-b5-cream-75ml,SKIN1004,,,EM-SKIN-SKIMAD-92942,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92944,publish,"Cos De BAHA Azelaic Acid 10% Serum (AZ) 30ml",cos-de-baha-azelaic-acid-10-serum-az-30ml,"Cos De Baha",,,EM-COSD-COSDEB-92944,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92948,publish,"Cos De Baha H Hyaluronic Acid Serum 30ml",cos-de-baha-h-hyaluronic-acid-serum-30ml,"Cos De Baha",,,EM-COSD-COSDEB-92948,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92950,publish,"Heimish Marine Care Algae+Peptide Eye Cream 30ml",heimish-marine-care-algaepeptide-eye-cream-30ml,Heimish,,,EM-HEIM-HEIMAR-92950,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92952,publish,"Isntree Green tea Fresh Serum 50ml",isntree-green-tea-fresh-serum-50ml,ISNTREE,,,EM-ISNT-ISNGRE-92952,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",
92954,publish,"Some By Mi Yuja Niacin Anti Blemish Starter Kit",some-by-mi-yuja-niacin-anti-blemish-starter-kit,"Some By Mi",,,EM-SOME-SOMBYM-92954,FILL_MISSING_SKU,"Product JSON-LD will emit this Woo SKU after apply; existing non-empty SKUs are preserved.",COMBO_OR_KIT_REVIEW
