import_id,import_status,import_title,import_categories,import_price,match_type,old_id,old_title,old_categories,old_price
92812,publish,Cerave Hydrating Cream-to-Foam Cleanser - 355 ml,"Face Cleansers, Face Cleansers",2500,core_no_size_spf,26156,CERAVE Hydrating Cream-to-Foam Cleanser 236 ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, Face Cleansers, Face Cleansers, Face Cleansers, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials, Skincare Essentials",1700
92812,publish,Cerave Hydrating Cream-to-Foam Cleanser - 355 ml,"Face Cleansers, Face Cleansers",2500,core_no_size_spf,63129,Cerave Hydrating Cream-To-Foam Cleanser 87ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, Face Cleansers, Face Cleansers, Face Cleansers, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials, Skincare Essentials",1100.0
92824,publish,Cerave hydrating facial cleanser 355ml,"Face Cleansers, Face Cleansers, Face Cleansers",2500,core_no_size_spf,26098,CERAVE Hydrating Facial Cleanser 473ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, SHOP BY CONCERN, SHOP BY CONCERN",3200
92824,publish,Cerave hydrating facial cleanser 355ml,"Face Cleansers, Face Cleansers, Face Cleansers",2500,core_no_size_spf,63833,Cerave Hydrating Facial Cleanser &#8211; 87 ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN",1100.0
92824,publish,Cerave hydrating facial cleanser 355ml,"Face Cleansers, Face Cleansers, Face Cleansers",2500,core_no_size_spf,63837,Cerave Hydrating Facial Cleanser &#8211; 473 ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN",1900
92840,publish,Anua Heartleaf Pore Control Cleansing Oil Mild 200ml,"Face Cleansers, Face Cleansers, Face Cleansers",2100,core_no_size_spf,57471,Anua Heartleaf Pore Control Cleansing Oil 200ml mild,"K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Makeup &amp; Cosmetics, Makeup &amp; Cosmetics, Makeup Remover, Makeup Remover, Pores &amp; Oil Control, Pores &amp; Oil Control, SHOP BY CONCERN, SHOP BY CONCERN",2100
92850,publish,SOME BY MI Yuja Niacin Anti Blemish Cream 60ml,"Cream/Moisturizer, Cream/Moisturizer",1700,core_no_size_spf,61678,Some By Mi Yuja Niacin Anti Blemish Cream 60 g,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, SHOP BY CONCERN, SHOP BY CONCERN",1750
92854,publish,MEDICUBE Collagen Jelly Cream 110ml,"Cream/Moisturizer, Cream/Moisturizer",2500,core_no_size_spf,59024,Medicube Collagen Jelly Cream 50ml,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty",2100
92858,publish,MEDICUBE Deep Vita C Capsule Cream 55g,"Cream/Moisturizer, Cream/Moisturizer",2500,core_no_size_spf,58506,Medicube Deep Vita C Capsule Cream 55ml,"K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Melasma, Melasma, Melasma",2500
92864,publish,Cos De Baha Niacinamide 20% + Zinc 4% Serum 30ml (NZ),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",990,core_no_size_spf,43807,Cos De BAHA Niacinamide 20% + Zinc 4% Serum (NZ) 30ml,"Melasma, Melasma, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials",1300
92868,publish,Cos De Baha Centella Asiatica Recovery Serum 30ml(CH),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",950,core_no_size_spf,43768,Cos De BAHA Centella Asiatica Recovery Serum (CH) 30ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",1200
92872,publish,Cos De BAHA M.A. Peptide Serum 60ml (P),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1500,core_no_size_spf,43791,Cos De BAHA M.A Peptide Serum (P) 30ml,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials",1200
92872,publish,Cos De BAHA M.A. Peptide Serum 60ml (P),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1500,core_no_size_spf,43794,Cos De BAHA M.A Peptide Serum (P) 60ml,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials",1500
92874,publish,Cos De BAHA Glycolic Acid 10% AHA Serum 30ml (G),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1100,core_no_size_spf,43774,Cos De BAHA Glycolic Acid 10% AHA Serum (G) 30ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",1200
92878,publish,Skin1004 Madagascar Centella Ampoule Foam 20ml (Mini),"Face Cleansers, Face Cleansers",500,core_no_size_spf,57928,Skin1004 Madagascar Centella Ampoule Foam 125ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",1300.0
92880,publish,Cosrx Low pH Good Morning Gel Cleanser 50ml (Mini),"Face Cleansers, Face Cleansers, Face Cleansers",550,core_no_size_spf,2595,COSRX Low pH Good Morning Gel Cleanser 150ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Face Cleansers, Face Cleansers, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Skincare Essentials, Skincare Essentials",1100
92880,publish,Cosrx Low pH Good Morning Gel Cleanser 50ml (Mini),"Face Cleansers, Face Cleansers, Face Cleansers",550,core_no_size_spf,58195,COSRX Low pH Good Morning Gel Cleanser 50ml,"Face Cleansers, Face Cleansers, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Skincare Essentials, Skincare Essentials",650
92884,publish,Skin1004 Madagascar Centella Ampoule 30ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",800,core_no_size_spf,55804,SKIN1004 Madagascar Centella Ampoule 100ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",2100.0
92884,publish,Skin1004 Madagascar Centella Ampoule 30ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",800,core_no_size_spf,57545,SKIN1004 Madagascar Centella Ampoule 55ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",1700.0
92884,publish,Skin1004 Madagascar Centella Ampoule 30ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",800,core_no_size_spf,57938,SKIN1004 Madagascar Centella Ampoule 20ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",599.0
92888,publish,SOME BY MI AHA BHA PHA 30 Days Miracle Cream 60g,"Cream/Moisturizer, Cream/Moisturizer, Cream/Moisturizer",1700,core_no_size_spf,38187,Some By Mi AHA.BHA.PHA 30 Days Miracle Cream,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty",1450
92912,publish,Mary&May Idebenone + Blackberry Complex Serum 80ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",2100,core_no_size_spf,58033,Mary&May Idebenone + Blackberry Complex Serum 30ml,"K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",1500
92932,publish,ANUA Heartleaf Quercetinol Pore Deep Cleansing Foam 25ml mini,"Face Cleansers, Face Cleansers",500,core_no_size_spf,74052,Anua Heartleaf Quercetinol Pore Deep Cleansing Foam 150ml,"Face Cleansers, Face Cleansers, Face Cleansers, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Pores &amp; Oil Control, Pores &amp; Oil Control, Pores &amp; Oil Control, SHOP BY CONCERN, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials, Skincare Essentials",900
92934,publish,Purito Wonder Releaf Centella Serum Unscented 15ml mini,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",550,core_no_size_spf,58706,Purito Wonder Releaf Centella Serum Unscented 60ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",1800
92940,publish,COS DE BAHA RETINOL 2.5% SERUM 30ML (RS),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",950,core_no_size_spf,43816,Cos De BAHA Retinol 2.5% Serum (RS) 30ml,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials",1300
92942,publish,SKIN1004 Madagascar Centella Tea-Trica B5 Cream 75ml,"Cream/Moisturizer, Cream/Moisturizer, Cream/Moisturizer",1500,core_no_size_spf,60925,SKIN1004 Madagascar Centella Tea-Trica B5 Cream 1.5 ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty",30
92946,publish,Cos De BAHA 2% Hydroquinone Brightening Serum 30ml (HB),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1100,core_no_size_spf,26747,Cos De BAHA 2% Hydroquinone Brightening Serum HB 30ml,"Melasma, Melasma, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, SHOP BY CONCERN, SHOP BY CONCERN, Skincare Essentials, Skincare Essentials",1100
92956,publish,Shiseido Fino Premium Touch Hair Oil 70g,"Hair Oil, Hair Oil, Hair Oil",1500,core_no_size_spf,58289,Shiseido Fino Premium Touch Hair Oil 70ml,"Hair &amp; Personal Care, Hair &amp; Personal Care, Hair &amp; Personal Care, Hair Care, Hair Care, Hair Care, Hair Oil, Hair Oil, Hair Oil, Japanese Beauty, Japanese Beauty, Japanese Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty",1900.0
92958,publish,CeraVe Foaming Facial Cleanser 237mL,"Face Cleansers, Face Cleansers",2500,core_no_size_spf,63831,Cerave Foaming Facial Cleanser &#8211; 87 ml,"Skincare Essentials, Skincare Essentials, Skincare Essentials",1100.0
92958,publish,CeraVe Foaming Facial Cleanser 237mL,"Face Cleansers, Face Cleansers",2500,core_no_size_spf,63835,Cerave Foaming Facial Cleanser &#8211; 473 ml,"Skincare Essentials, Skincare Essentials, Skincare Essentials",1700
92960,publish,RAIP R3 Argan Hair Oil Grapefruit 100ml,"Hair Oil, Hair Oil, Hair Oil",900,core_no_size_spf,61616,Raip R3 Argan Hair Oil 100 ml - GRAPEFRUIT,"Hair &amp; Personal Care, Hair &amp; Personal Care, Hair Care, Hair Care, Hair Oil, Hair Oil",950
92962,publish,RAIP R3 Argan Hair Oil Unscented 100ml,"Hair Oil, Hair Oil, Hair Oil",900,core_no_size_spf,61693,Raip R3 Argan Hair Oil 100 ml - UNSCENTED,"Hair &amp; Personal Care, Hair &amp; Personal Care, Hair Care, Hair Care, Hair Oil, Hair Oil",950
92964,publish,Neutrogena Ultra Sheer Dry-Touch Sunscreen Broad Spectrum SPF 70 88ml,"Sunscreen, Sunscreen",1900,core_no_size_spf,63705,Neutrogena Ultra Sheer Dry-Touch Sunscreen Broad Spectrum SPF 45 &#8211; 88ml,"Skincare Essentials, Skincare Essentials, Skincare Essentials, Sunscreen, Sunscreen, Sunscreen",1150.0
92970,publish,Dabo All In One Black Snail Repair Cream 50ml,"Cream/Moisturizer, Cream/Moisturizer",700,core_no_size_spf,60074,Dabo All In One Black Snail Repair Cream 100gm,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Skincare Essentials, Skincare Essentials, Skincare Essentials",990.0
92970,publish,Dabo All In One Black Snail Repair Cream 50ml,"Cream/Moisturizer, Cream/Moisturizer",700,core_no_size_spf,60081,Dabo All In One Black Snail Repair Cream 100 g,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Skincare Essentials, Skincare Essentials",1170
92974,publish,Cosrx Centella Blemish Cream 30g,"Cream/Moisturizer, Cream/Moisturizer, Cream/Moisturizer",1300,core_no_size_spf,4262,COSRX Centella Blemish Cream 30gm,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, SHOP BY CONCERN, SHOP BY CONCERN",1400
92978,publish,Dr. Ceuracle Vegan Kombucha Tea Essence 150ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",2700,core_no_size_spf,63939,Dr. Ceuracle Vegan Kombucha Tea Essence 18ml (Mini),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",700.0
92980,publish,ACWELL Licorice pH Balancing Cleansing Toner 30ml,"Face Cleansers, Face Cleansers",400,core_no_size_spf,3750,ACWELL Licorice pH Balancing Cleansing Toner,"K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Skincare Essentials, Skincare Essentials, Skincare Essentials, Toners &amp; Mists, Toners &amp; Mists, Toners &amp; Mists",1350.0
92980,publish,ACWELL Licorice pH Balancing Cleansing Toner 30ml,"Face Cleansers, Face Cleansers",400,core_no_size_spf,92930,Acwell Licorice pH Balancing Cleansing Toner 150ml,"Face Cleansers, Face Cleansers",1500
92984,publish,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 50ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1500,core_no_size_spf,56975,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 100ml,"K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials, Spot Treatment, Spot Treatment, Spot Treatment",1500
92984,publish,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 50ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1500,core_no_size_spf,58212,SKIN1004 Madagascar Centella Tone Brightening Capsule Ampoule 30ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Acne &amp; Blemish Care, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",799
92988,publish,Anua Heartleaf 77% Soothing Toner 40ml [mini],"Toners &amp; Mists, Toners &amp; Mists, Toners &amp; Mists",550,core_no_size_spf,53306,ANUA Heartleaf 77% Soothing Toner 250ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Skincare Essentials, Skincare Essentials, Skincare Essentials, Toners &amp; Mists, Toners &amp; Mists, Toners &amp; Mists",1950.0
92988,publish,Anua Heartleaf 77% Soothing Toner 40ml [mini],"Toners &amp; Mists, Toners &amp; Mists, Toners &amp; Mists",550,core_no_size_spf,53311,ANUA Heartleaf 77% Soothing Toner 40ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Skincare Essentials, Skincare Essentials, Skincare Essentials, Toners &amp; Mists, Toners &amp; Mists, Toners &amp; Mists",650.0
93000,publish,IUNIK BETA-GLUCAN POWER MOISTURE SERUM 50ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1500,core_no_size_spf,61788,Iunik Beta-Glucan Power Moisture Serum 1.5 ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",30
93018,publish,Beauty of Joseon Revive Serum: Ginseng + Snail Mucin 60ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1700,core_no_size_spf,3707,Beauty of Joseon Revive Serum: Ginseng + Snail Mucin 30ml,"Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, Anti-Aging &amp; Repair, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials, Skincare Essentials",1199.0
93024,publish,Innisfree No sebum mineral powder 5g,"Skincare Essentials, Skincare Essentials, Skincare Essentials",800,core_no_size_spf,2914,Innisfree No Sebum Mineral Powder 5gm,"K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Pores &amp; Oil Control, Pores &amp; Oil Control, SHOP BY CONCERN, SHOP BY CONCERN",850
93028,publish,COSRX Advanced Snail 96 Mucin Power Essence 100ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",1500,core_no_size_spf,92928,Cosrx Advanced Snail 96 Mucin Power Essence 30ml (mini),"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",450
93032,publish,I'M FROM Mugwort Essence - 30ml,"Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences",900,core_no_size_spf,3749,I M FROM Mugwort Essence 160ml,"Acne &amp; Blemish Care, Acne &amp; Blemish Care, Serums, Ampoules &amp; Essences, Serums, Ampoules &amp; Essences, Skincare Essentials, Skincare Essentials",3200
93044,publish,Beauty of Joseon Relief Sun Aqua-fresh : Rice + B5 10ml (Mini),"Skincare Essentials, Skincare Essentials",400,core_no_size_spf,59052,Beauty of Joseon Relief Sun Aqua-fresh : Rice + B5 50ml,"Dryness &amp; Hydration, Dryness &amp; Hydration, Dryness &amp; Hydration, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, K-Beauty &amp; J-Beauty, Korean Beauty, Korean Beauty, Korean Beauty",1300
