ID,Type,SKU,Name,Slug,Published,Short description,Regular price,Sale price,Categories,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Images,In stock?,Stock
,simple,CERAVE-085,CeraVe Hydrating Cleanser Normal To Dry Skin 355ml (USA Version),cerave-hydrating-cleanser-normal-to-dry-skin-355ml,0,Gentle non-foaming hydrating cleanser for normal to dry skin with ceramides and hyaluronic acid. 355ml USA version.,2690,,Face Cleansers,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-086,CeraVe Hydrating Sunscreen SPF 30 Medium Sheer Tint 50ml,cerave-hydrating-sunscreen-spf-30-medium-sheer-tint-50ml,0,Daily facial sunscreen SPF 30 with medium sheer tint. Hydrating mineral formula for dry and sensitive skin. 50ml.,2464,,"Sunscreen, Dry/Sensitive Sunscreen",CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-087,CeraVe Hydrating Sunscreen SPF 30 Light Sheer Tint 50ml,cerave-hydrating-sunscreen-spf-30-light-sheer-tint-50ml,0,Lightweight daily sunscreen SPF 30 with light sheer tint. Hydrating mineral formula for sensitive skin. 50ml.,2464,,"Sunscreen, Dry/Sensitive Sunscreen",CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-088,CeraVe Acne Foaming Cream Wash 150ml (10% Benzoyl Peroxide),cerave-acne-foaming-cream-wash-150ml-10-benzoyl-peroxide,0,Acne-fighting foaming face wash with 10% benzoyl peroxide and ceramides. For acne-prone skin. 150ml.,2520,,Face Cleansers,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-089,CeraVe Hydrating Cleanser 20ml,cerave-hydrating-cleanser-20ml,0,Travel-size gentle hydrating cleanser. Non-foaming formula with ceramides for normal to dry skin. 20ml.,645,,Face Cleansers,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-090,CeraVe Hydrating Facial Cleanser For Normal To Dry Skin 473ml (USA Version),cerave-hydrating-facial-cleanser-for-normal-to-dry-skin-473ml,0,"Creamy, gentle facial cleanser for normal to dry skin. Restores the skin's moisture barrier. 473ml USA version.",3916,,Face Cleansers,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-091,CeraVe Moisturising Lotion For Dry To Very Dry Skin 473ml (UK Version),cerave-moisturising-lotion-for-dry-to-very-dry-skin-473ml,0,Rich hydrating lotion for dry to very dry skin with ceramides and hyaluronic acid. 473ml UK version.,3300,,"Cream/Moisturizer, Body Lotion",CeraVe,Origin,UK,1,1,,1,
,simple,CERAVE-092,CeraVe Baby Wash & Shampoo 237ml,cerave-baby-wash-shampoo-237ml,0,"Gentle 2-in-1 baby wash and shampoo. Tear-free, fragrance-free formula safe for sensitive baby skin. 237ml.",2418,,"Baby Bath & Wash, Baby Skincare",CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-093,CeraVe Daily Moisturizing Lotion 473ml (Normal To Dry Skin),cerave-daily-moisturizing-lotion-473ml-normal-to-dry-skin,0,Lightweight oil-free daily moisturizer for normal to dry skin with ceramides and hyaluronic acid. 473ml.,3256,,Cream/Moisturizer,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-094,CeraVe Baby Moisturizing Cream 142g,cerave-baby-moisturizing-cream-142g,0,"Gentle baby moisturizing cream for sensitive skin. Pediatrician-tested, fragrance-free formula with ceramides. 142g.",1799,,Baby Skincare,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-095,CeraVe AM Facial Moisturizing Lotion with Sunscreen SPF 30 60ml,cerave-am-facial-moisturizing-lotion-with-sunscreen-spf-30-60ml,0,"Morning moisturizer with SPF 30, niacinamide and ceramides. Lightweight, oil-free daily sun protection. 60ml.",1540,,"Cream/Moisturizer, Sunscreen",CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-096,CeraVe Hydrating Cream To Foam Cleanser For Normal To Dry Skin 237ml,cerave-hydrating-cream-to-foam-cleanser-for-normal-to-dry-skin-237ml,0,Cream-to-foam face wash that cleanses without stripping moisture. With ceramides for normal to dry skin. 237ml.,2390,,Face Cleansers,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-097,CeraVe Eye Repair Cream (USA Version),cerave-eye-repair-cream,0,Lightweight eye cream to reduce dark circles and puffiness. With ceramides and hyaluronic acid. USA version.,2068,,Eye Care,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-098,CeraVe SA Smoothing Cream 177ml,cerave-sa-smoothing-cream-177ml,0,"Salicylic acid smoothing cream for rough, bumpy skin. Exfoliates and softens with ceramides. 177ml.",2068,,Cream/Moisturizer,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-099,CeraVe Hydrating Foaming Oil Cleanser 236ml,cerave-hydrating-foaming-oil-cleanser-236ml,0,Nourishing foaming oil cleanser for dry to very dry skin. Removes makeup while maintaining moisture barrier. 236ml.,1990,,Face Cleansers,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-100,CeraVe Resurfacing Retinol Serum 30ml (USA Version),cerave-resurfacing-retinol-serum-30ml,0,Retinol serum for smoother texture and reduced fine lines. With encapsulated retinol and ceramides. 30ml USA version.,2590,,"Serums, Ampoules & Essences",CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-101,CeraVe Daily Moisturizing Lotion 237ml (USA Version),cerave-daily-moisturizing-lotion-237ml,0,"Lightweight daily moisturizer for normal to dry skin. Oil-free, fragrance-free formula with ceramides. 237ml USA version.",2390,,Cream/Moisturizer,CeraVe,Origin,USA,1,1,,1,
,simple,CERAVE-102,CeraVe Moisturizing Cream 340g UK Version (Dry To Very Dry Skin),cerave-moisturizing-cream-340g-uk-version-dry-to-very-dry-skin,0,Rich moisturizing cream for dry to very dry skin. Intensive moisture with ceramides and hyaluronic acid. 340g UK version.,2690,,Cream/Moisturizer,CeraVe,Origin,UK,1,1,,1,
